MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
633FRD001,633,2000-09-29T00:00:00Z,9,2e3,BMI_SNARL,1,0.916936879726708,38.67801,-119.96337
633PS0083,633,2012-09-04T00:00:00Z,9,2012,BMI_RWB,1,0.972409401005538,38.6789,-119.9608
632ECR007,632,2007-09-07T00:00:00Z,9,2007,BMI_RWB,1,1.00960352196617,38.67899,-119.74722
632ECR007,632,2007-09-07T00:00:00Z,9,2007,BMI_TRC,1,0.975337965800667,38.67899,-119.74722
633WCR003,633,1999-08-31T00:00:00Z,8,1999,BMI_SNARL,1,0.847858376258001,38.68111,-119.93125
633WCR003,633,2012-09-04T00:00:00Z,9,2012,BMI_RWB,1,1.00693823744553,38.68111,-119.93125
632SPT001,632,2000-09-06T00:00:00Z,9,2e3,BMI_SNARL,1,1.14970646277956,38.68417,-119.8077
632LEV004,632,1999-07-09T00:00:00Z,7,1999,BMI_SNARL,1,1.0619206930658,38.68823,-119.64773
632PS0046,632,2011-08-16T00:00:00Z,8,2011,BMI_RWB,1,1.18182700465339,38.6956,-119.77413
632WE0629,632,2002-06-27T00:00:00Z,6,2002,BMI_RWB,1,1.06041210447996,38.69578,-119.87532
632WE0629,632,2002-06-27T00:00:00Z,6,2002,BMI_TRC,1,0.896302813151685,38.69578,-119.87532
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_RWB,1,1.05177264310223,38.69687,-119.77305
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_RWB,2,1.08509991121879,38.69687,-119.77305
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_RWB,3,1.11284758167291,38.69687,-119.77305
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_TRC,1,1.06941617017814,38.69687,-119.77305
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_TRC,2,1.08599009716968,38.69687,-119.77305
632MRK001,632,2006-07-26T00:00:00Z,7,2006,BMI_TRC,3,1.16749446697504,38.69687,-119.77305
632SED035,632,2007-06-30T00:00:00Z,6,2007,BMI_RWB,1,1.07079191923651,38.69919,-119.84636
633RDL001,633,1999-08-27T00:00:00Z,8,1999,BMI_SNARL,1,0.914102131816374,38.72095,-119.94752
634UTRADC,634,2013-08-21T00:00:00Z,8,2013,BMI_RWB,1,0.649900677150656,38.72996,-120.01776
634UTRADC,634,2001-07-25T00:00:00Z,7,2001,NotRecorded,1,0.864012161164245,38.72996,-120.01776
